begin,open,close,high,low,value,volume,log_return
2015-02-20,14.89,14.89,14.89,14.89,42021052785.0,0,-0.004690125850413642
2015-02-24,14.85,14.85,14.85,14.85,37146319797.0,0,-0.0026899814472090243
2015-02-25,14.93,14.93,14.93,14.93,44814790634.0,0,0.005372746302390501
2015-02-26,15.21,15.21,15.21,15.21,31216696159.0,0,0.018580494720102488
2015-02-27,15.15,15.15,15.15,15.15,51596027794.0,0,-0.003952574315823358
2015-03-02,15.2,15.2,15.2,15.2,37599666716.0,0,0.0032948958968524846
2015-03-03,15.26,15.26,15.26,15.26,37836609116.0,0,0.00393959800408031
2015-03-04,15.4,15.4,15.4,15.4,40119078166.0,0,0.009132483563272474
2015-03-05,15.36,15.36,15.36,15.36,40574578459.0,0,-0.0026007817000574785
2015-03-06,15.37,15.37,15.37,15.37,46410441291.0,0,0.0006508298309784591
2015-03-10,15.14,15.14,15.14,15.14,33232116452.0,0,-0.01507730954120164
2015-03-11,15.29,15.29,15.29,15.29,42312934361.0,0,0.009858771931668064
2015-03-12,15.12,15.12,15.12,15.12,43843362495.0,0,-0.011180649189583974
2015-03-13,14.5,14.5,14.5,14.5,42539245220.0,0,-0.041869721324858146
2015-03-16,13.98,13.98,13.98,13.98,37963477180.0,0,-0.03652091262086452
2015-03-17,14.16,14.16,14.16,14.16,39477011758.0,0,0.012793351459909542
2015-03-18,14.24,14.24,14.24,14.24,38742188681.0,0,0.005633817718256064
2015-03-19,14.4,14.4,14.4,14.4,30141627374.0,0,0.011173300598125255
2015-03-20,14.34,14.34,14.34,14.34,38298789600.0,0,-0.0041753714104806215
2015-03-23,14.33,14.33,14.33,14.33,36144195183.0,0,-0.0006975933313938473
2015-03-24,14.3,14.3,14.3,14.3,32409744322.0,0,-0.0020957045742188815
2015-03-25,14.31,14.31,14.31,14.31,45970505752.0,0,0.0006990563024978207
2015-03-26,14.41,14.41,14.41,14.41,47070827364.0,0,0.0069638164430712276
2015-03-27,14.41,14.41,14.41,14.41,46014116307.0,0,0.0
2015-03-30,14.25,14.25,14.25,14.25,32604395240.0,0,-0.011165503296771144
2015-03-31,14.12,14.12,14.12,14.12,40990513028.0,0,-0.00916467464956352
2015-04-01,14.22,14.22,14.22,14.22,45533928630.0,0,0.007057192309998979
2015-04-02,14.19,14.19,14.19,14.19,43973007461.0,0,-0.002111933203143613
2015-04-03,14.11,14.11,14.11,14.11,47651365957.0,0,-0.005653725307228645
2015-04-06,14.1,14.1,14.1,14.1,52284824519.0,0,-0.0007089684806000765
2015-04-07,13.96,13.96,13.96,13.96,41187495826.0,0,-0.009978700049896082
2015-04-08,13.85,13.85,13.85,13.85,42335255648.0,0,-0.007910864700878947
2015-04-09,13.72,13.72,13.72,13.72,46907538105.0,0,-0.00943061033560825
2015-04-10,13.67,13.67,13.67,13.67,37197347767.0,0,-0.0036509715618809856
2015-04-13,13.99,13.99,13.99,13.99,43686456653.0,0,0.023139137941531596
2015-04-14,14.1,14.1,14.1,14.1,35337583224.0,0,0.007832008706732818
2015-04-15,14.18,14.18,14.18,14.18,33620353417.0,0,0.005657723719858855
2015-04-16,14.41,14.41,14.41,14.41,31132019401.0,0,0.016089888907449366
2015-04-17,14.36,14.36,14.36,14.36,37548353895.0,0,-0.003475846391352653
2015-04-20,14.18,14.18,14.18,14.18,33126635078.0,0,-0.012614042516096716
2015-04-21,14.17,14.17,14.17,14.17,28823736376.0,0,-0.000705467401392371
2015-04-22,14.31,14.31,14.31,14.31,26090666201.0,0,0.009831539865770582
2015-04-23,14.12,14.12,14.12,14.12,37742110643.0,0,-0.01336636150326357
2015-04-24,13.8,13.8,13.8,13.8,30673376831.0,0,-0.02292363990193685
2015-04-27,13.91,13.91,13.91,13.91,32857596621.0,0,0.007939413772192525
2015-04-28,14.16,14.16,14.16,14.16,30983754845.0,0,0.017813082330222257
2015-04-29,13.91,13.91,13.91,13.91,22861919719.0,0,-0.01781308233022215
2015-04-30,13.96,13.96,13.96,13.96,23476644645.0,0,0.0035880913988748475
2015-05-05,12.74,12.74,12.74,12.74,27255598801.0,0,-0.09144944719020918
2015-05-06,12.54,12.54,12.54,12.54,27661086830.0,0,-0.015823114939242756
2015-05-07,12.51,12.51,12.51,12.51,28693461353.0,0,-0.002395210725954822
2015-05-08,11.93,11.93,11.93,11.93,26253630994.0,0,-0.04747208836899504
2015-05-12,12.06,12.06,12.06,12.06,23504707477.0,0,0.010837955189214757
2015-05-13,12.49,12.49,12.49,12.49,29465199150.0,0,0.03503413283844682
2015-05-14,12.73,12.73,12.73,12.73,29700646598.0,0,0.019033088431828892
2015-05-15,12.82,12.82,12.82,12.82,35519213026.0,0,0.007045038923208838
2015-05-18,12.94,12.94,12.94,12.94,36478918639.0,0,0.009316837580230539
2015-05-19,12.94,12.94,12.94,12.94,32099164733.0,0,0.0
2015-05-20,12.64,12.64,12.64,12.64,25256009392.0,0,-0.023456900354043093
2015-05-21,12.23,12.23,12.23,12.23,26061646190.0,0,-0.03297443901963044
2015-05-22,12.17,12.17,12.17,12.17,27052793777.0,0,-0.004918042699645257
2015-05-25,12.38,12.38,12.38,12.38,27180744741.0,0,0.017108360257014406
2015-05-26,12.6,12.6,12.6,12.6,22458204772.0,0,0.017614546700982087
2015-05-27,12.84,12.84,12.84,12.84,29386786963.0,0,0.018868484304382736
2015-05-28,12.78,12.78,12.78,12.78,28526697807.0,0,-0.004683849312426426
2015-05-29,12.78,12.78,12.78,12.78,34317574306.0,0,0.0
2015-06-01,12.6,12.6,12.6,12.6,42886679894.0,0,-0.014184634991956413
2015-06-02,12.38,12.38,12.38,12.38,47927621188.0,0,-0.017614546700982208
2015-06-03,12.54,12.54,12.54,12.54,56944035516.0,0,0.01284126794832444
2015-06-04,12.74,12.74,12.74,12.74,56330820650.0,0,0.01582311493924266
2015-06-05,12.78,12.78,12.78,12.78,47283976563.0,0,0.0031347988053714785
2015-06-08,12.79,12.79,12.79,12.79,47058288157.0,0,0.0007821666413624768
2015-06-09,12.91,12.91,12.91,12.91,63436784433.0,0,0.009338589267799841
2015-06-10,12.8,12.8,12.8,12.8,57139339653.0,0,-0.008557033932979618
2015-06-11,12.57,12.57,12.57,12.57,46068378159.0,0,-0.018132148323415406
2015-06-15,12.5,12.5,12.5,12.5,45906101425.0,0,-0.005584378293900619
2015-06-16,11.75,11.75,11.75,11.75,46391356512.0,0,-0.06187540371808753
2015-06-17,11.86,11.86,11.86,11.86,52026440011.0,0,0.009318152979411373
2015-06-18,11.93,11.93,11.93,11.93,48856983294.0,0,0.005884842540245358
2015-06-19,11.89,11.89,11.89,11.89,48033796298.0,0,-0.003358525407134216
2015-06-22,11.86,11.86,11.86,11.86,45813055836.0,0,-0.0025263171331111364
2015-06-23,11.9,11.9,11.9,11.9,45041546378.0,0,0.0033670065479044697
2015-06-24,11.89,11.89,11.89,11.89,58162902363.0,0,-0.0008406894147932353
2015-06-25,11.95,11.95,11.95,11.95,62081713173.0,0,0.005033567674829123
2015-06-26,11.93,11.93,11.93,11.93,49860853282.0,0,-0.0016750422676948438
2015-06-29,11.95,11.95,11.95,11.95,52440533389.0,0,0.0016750422676948956
2015-06-30,11.9,11.9,11.9,11.9,53381805778.0,0,-0.004192878260035927
2015-07-01,11.8,11.8,11.8,11.8,49293017815.0,0,-0.008438868645864595
2015-07-02,11.76,11.76,11.76,11.76,43962469066.0,0,-0.003395589001138272
2015-07-03,11.53,11.53,11.53,11.53,49247233926.0,0,-0.019751608189513197
2015-07-06,11.23,11.23,11.23,11.23,49480011490.0,0,-0.026363565530615727
2015-07-07,10.89,10.89,10.89,10.89,44124984235.0,0,-0.030743831805482694
2015-07-08,11.0,11.0,11.0,11.0,58719381902.0,0,0.010050335853501286
2015-07-09,10.88,10.88,10.88,10.88,48806350706.0,0,-0.010969031370573933
2015-07-10,11.13,11.13,11.13,11.13,51943058342.0,0,0.022717923859656868
2015-07-13,11.69,11.69,11.69,11.69,48573718251.0,0,0.049089610196523574
2015-07-14,11.7,11.7,11.7,11.7,56643675780.0,0,0.0008550663197334765
2015-07-15,11.67,11.67,11.67,11.67,51585124684.0,0,-0.0025673955052458097
2015-07-16,11.75,11.75,11.75,11.75,55586475634.0,0,0.006831794291703272
2015-07-17,11.87,11.87,11.87,11.87,46489533017.0,0,0.010160968031408583
2015-07-20,11.9,11.9,11.9,11.9,52276986645.0,0,0.0025241914959071438
2015-07-21,11.75,11.75,11.75,11.75,56464908298.0,0,-0.0126851595273158
2015-07-22,11.77,11.77,11.77,11.77,64725711507.0,0,0.0017006806820172508
2015-07-23,11.37,11.37,11.37,11.37,57632392358.0,0,-0.03457561350974067
2015-07-24,11.04,11.04,11.04,11.04,47815039566.0,0,-0.029453266913495382
2015-07-27,11.2,11.2,11.2,11.2,41558904952.0,0,0.01438873745209967
2015-07-28,11.55,11.55,11.55,11.55,44866908787.0,0,0.030771658666753902
2015-07-29,11.41,11.41,11.41,11.41,68866479707.0,0,-0.012195273093818355
2015-07-30,11.08,11.08,11.08,11.08,54131770633.0,0,-0.02934848255484648
2015-07-31,11.02,11.02,11.02,11.02,50449081845.0,0,-0.0054298775943694
2015-08-03,10.54,10.54,10.54,10.54,40797029156.0,0,-0.04453426061155217
2015-08-04,10.39,10.39,10.39,10.39,35439439379.0,0,-0.014333738002080064
2015-08-05,10.52,10.52,10.52,10.52,45708808872.0,0,0.012434402198427622
2015-08-06,10.45,10.45,10.45,10.45,45819326041.0,0,-0.006676228898743821
2015-08-07,10.43,10.43,10.43,10.43,49871259712.0,0,-0.0019157093981388982
2015-08-10,10.43,10.43,10.43,10.43,49215959101.0,0,0.0
2015-08-11,10.59,10.59,10.59,10.59,55152345348.0,0,0.015223890600634022
2015-08-12,10.78,10.78,10.78,10.78,59408389058.0,0,0.01778240586753606
2015-08-13,10.81,10.81,10.81,10.81,47413444196.0,0,0.0027790661702660284
2015-08-14,11.03,11.03,11.03,11.03,48304408732.0,0,0.020147201614293984
2015-08-17,11.1,11.1,11.1,11.1,50177014526.0,0,0.0063262750528773806
2015-08-18,11.07,11.07,11.07,11.07,56230138239.0,0,-0.002706361597742914
2015-08-19,10.89,10.89,10.89,10.89,57559098792.0,0,-0.016393809775676383
2015-08-20,10.78,10.78,10.78,10.78,48836903405.0,0,-0.010152371464018073
2015-08-21,10.8,10.8,10.8,10.8,49279360684.0,0,0.0018535686493230564
2015-08-24,10.86,10.86,10.86,10.86,50354828755.0,0,0.005540180375615351
2015-08-25,10.97,10.97,10.97,10.97,49940525426.0,0,0.010077959781349637
2015-08-26,10.97,10.97,10.97,10.97,66575531019.0,0,0.0
2015-08-27,11.0,11.0,11.0,11.0,60991077038.0,0,0.0027309985112315125
2015-08-28,11.02,11.02,11.02,11.02,51021350175.0,0,0.0018165309263977853
2015-08-31,11.0,11.0,11.0,11.0,45662353732.0,0,-0.001816530926397894
2015-09-01,10.93,10.93,10.93,10.93,39591151444.0,0,-0.006383970609923337
2015-09-02,10.86,10.86,10.86,10.86,71729941052.0,0,-0.006424987682657886
2015-09-03,10.69,10.69,10.69,10.69,53812567785.0,0,-0.015777589468835538
2015-09-04,10.77,10.77,10.77,10.77,62988554876.0,0,0.007455766131343454
2015-09-07,10.76,10.76,10.76,10.76,47414363298.0,0,-0.0009289364346588624
